0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/js/easyui/ext/jquery.portal.js HTTP/1.1" 200 8124
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/js/easyui/ext/jquery.cookie.js HTTP/1.1" 200 3655
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/js/easyui/themes/default/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/page_portal_gonggao.action?_=1543796348461 HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/page_portal_daiban.action?_=1543796348477 HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/page_portal_yujing.action?_=1543796348489 HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/page_portal_bug.action?_=1543796348499 HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:14 +0800] "GET /bos-web/js/ztree/img/line_conn.gif HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:16 +0800] "GET /bos-web/js/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:16 +0800] "GET /bos-web/page_base_region.action HTTP/1.1" 200 5125
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:16 +0800] "GET /bos-web/js/jquery.ocupload-1.1.2.js HTTP/1.1" 200 5254
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:16 +0800] "GET /bos-web/images/title.png HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:16 +0800] "GET /bos-web/js/easyui/themes/icons/filesave.png HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:16 +0800] "GET /bos-web/js/easyui/themes/icons/pencil.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:16 +0800] "GET /bos-web/js/easyui/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:16 +0800] "GET /bos-web/js/easyui/themes/icons/redo.png HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:16 +0800] "GET /bos-web/js/easyui/themes/default/images/pagination_icons.png HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:16 +0800] "POST /bos-web/json/region.json HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:20 +0800] "POST /bos-web/regionAction_importXls.action HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:26 +0800] "GET /bos-web/page_base_staff.action HTTP/1.1" 200 9896
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:26 +0800] "GET /bos-web/js/easyui/themes/icons/search.png HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:27 +0800] "POST /bos-web/staffAction_pageQuery.action HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:31 +0800] "GET /bos-web/page_base_region.action HTTP/1.1" 200 5125
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:31 +0800] "POST /bos-web/json/region.json HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:31 +0800] "GET /bos-web/page_base_subarea.action HTTP/1.1" 200 7519
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:31 +0800] "GET /bos-web/js/easyui/themes/default/images/combo_arrow.png HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:31 +0800] "POST /bos-web/json/standard.json HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:32 +0800] "GET /bos-web/js/easyui/themes/icons/undo.png HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:32 +0800] "POST /bos-web/json/subarea.json HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:32 +0800] "GET /bos-web/page_base_decidedzone.action HTTP/1.1" 200 10258
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:32 +0800] "POST /bos-web/json/standard.json HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:33 +0800] "GET /bos-web/js/easyui/themes/icons/sum.png HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:33 +0800] "POST /bos-web/json/decidedzone_subarea.json HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:33 +0800] "POST /bos-web/json/decidedzone.json HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:36 +0800] "GET /bos-web/page_base_region.action HTTP/1.1" 200 5125
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:36 +0800] "POST /bos-web/json/region.json HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:36 +0800] "GET /bos-web/page_base_subarea.action HTTP/1.1" 200 7519
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:37 +0800] "POST /bos-web/json/standard.json HTTP/1.1" 404 1062
