127.0.0.1 - - [04/Dec/2018:11:05:37 +0800] "GET / HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:05:39 +0800] "GET /bos-web/ HTTP/1.1" 200 3969
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:05:39 +0800] "GET /bos-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:05:39 +0800] "GET /bos-web/js/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:05:39 +0800] "GET /bos-web/css/style_grey.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:05:39 +0800] "GET /bos-web/images/bg_login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:05:39 +0800] "GET /bos-web/images/bg_grey.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:05:39 +0800] "GET /bos-web/validatecode.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:06:09 +0800] "GET /bos-web/ HTTP/1.1" 200 3969
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:06:10 +0800] "GET /bos-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:06:10 +0800] "GET /bos-web/css/style_grey.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:06:10 +0800] "GET /bos-web/validatecode.jsp HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:06:10 +0800] "GET /bos-web/images/bg_login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:06:10 +0800] "GET /bos-web/images/bg_grey.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:06:10 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:06:16 +0800] "POST /bos-web/userAction_login.action HTTP/1.1" 200 9540
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:06:16 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:06:16 +0800] "GET /bos-web/page_common_home.action HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:06:16 +0800] "GET /bos-web/page_common_home.action HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:06:17 +0800] "GET /bos-web/page_common_home.action HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:06:17 +0800] "POST /bos-web/json/menu.json HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [04/Dec/2018:11:06:17 +0800] "POST /bos-web/json/admin.json HTTP/1.1" 200 281
