127.0.0.1 - - [01/Dec/2018:07:46:11 +0800] "GET / HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:12 +0800] "GET /bos-web/ HTTP/1.1" 200 3969
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:12 +0800] "GET /bos-web/js/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:13 +0800] "GET /bos-web/css/style_grey.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:13 +0800] "GET /bos-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:13 +0800] "GET /bos-web/images/bg_login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:13 +0800] "GET /bos-web/images/bg_grey.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:13 +0800] "GET /bos-web/validatecode.jsp HTTP/1.1" 200 1937
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:27 +0800] "GET /bos-web/ HTTP/1.1" 200 3969
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:27 +0800] "GET /bos-web/js/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:27 +0800] "GET /bos-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:27 +0800] "GET /bos-web/css/style_grey.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:27 +0800] "GET /bos-web/validatecode.jsp HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:27 +0800] "GET /bos-web/images/bg_login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:27 +0800] "GET /bos-web/images/bg_grey.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:27 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:42 +0800] "POST /bos-web/userAction_login.action HTTP/1.1" 200 9540
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:42 +0800] "GET /bos-web/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/ztree/jquery.ztree.all-3.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/ztree/zTreeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/images/online.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/images/header_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/page_common_home.action HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/themes/default/images/linkbutton_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/themes/icons/ok.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/themes/icons/cancel.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/themes/default/images/menu_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/themes/icons/help.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/themes/default/images/blank.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/themes/default/images/layout_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/page_common_home.action HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/page_common_home.action HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/themes/icons/mini_add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/themes/default/images/accordion_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/themes/default/images/panel_tools.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "POST /bos-web/json/menu.json HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "POST /bos-web/json/admin.json HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/ext/portal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/ext/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/ext/jquery.portal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/ztree/img/zTreeStandard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/js/easyui/themes/default/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/page_portal_gonggao.action?_=1543621603465 HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/page_portal_daiban.action?_=1543621603482 HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/page_portal_yujing.action?_=1543621603496 HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:43 +0800] "GET /bos-web/page_portal_bug.action?_=1543621603508 HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:46 +0800] "GET /bos-web/js/ztree/img/line_conn.gif HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:54 +0800] "GET /bos-web/js/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [01/Dec/2018:07:46:54 +0800] "GET /bos-web/page_base_staff.action HTTP/1.1" 200 5298
