0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:01:12 +0800] "GET /bos-web/js/easyui/themes/icon.css HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:01:12 +0800] "GET /bos-web/js/ztree/zTreeStyle.css HTTP/1.1" 200 6316
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:01:12 +0800] "GET /bos-web/js/ztree/jquery.ztree.all-3.5.js HTTP/1.1" 200 121519
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:01:12 +0800] "GET /bos-web/js/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:01:12 +0800] "GET /bos-web/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:01:12 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:01:12 +0800] "GET /bos-web/js/easyui/themes/default/images/linkbutton_bg.png HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:01:12 +0800] "GET /bos-web/js/easyui/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:01:12 +0800] "GET /bos-web/js/easyui/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:01:12 +0800] "GET /bos-web/js/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:01:12 +0800] "GET /bos-web/js/easyui/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:01:12 +0800] "GET /bos-web/js/easyui/themes/icons/cut.png HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:01:16 +0800] "GET /bos-web/js/ztree/img/zTreeStandard.png HTTP/1.1" 200 11173
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:01:17 +0800] "GET /bos-web/js/ztree/img/line_conn.gif HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:09:28 +0800] "GET /bos-web/easyui/05-ztree2.jsp HTTP/1.1" 200 4013
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:09:28 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:09:28 +0800] "GET /bos-web/js/easyui/themes/default/images/blank.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:12:30 +0800] "GET /bos-web/easyui/05-ztree2.jsp HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:12:32 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:24:50 +0800] "GET /bos-web/easyui/05-ztree2.jsp HTTP/1.1" 200 4839
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:24:50 +0800] "GET /bos-web/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:24:50 +0800] "GET /bos-web/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:24:50 +0800] "GET /bos-web/js/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:24:50 +0800] "GET /bos-web/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:24:50 +0800] "GET /bos-web/js/ztree/zTreeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:24:50 +0800] "GET /bos-web/js/ztree/jquery.ztree.all-3.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:24:50 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:24:50 +0800] "GET /bos-web/js/easyui/themes/default/images/linkbutton_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:24:50 +0800] "GET /bos-web/js/easyui/themes/default/images/blank.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:24:50 +0800] "GET /bos-web/js/easyui/themes/default/images/layout_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:24:50 +0800] "GET /bos-web/js/easyui/themes/icons/cut.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:24:50 +0800] "GET /bos-web/js/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:24:50 +0800] "GET /bos-web/js/easyui/themes/default/images/accordion_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:24:50 +0800] "POST /bos-web/json/menu.json HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:25:57 +0800] "GET /bos-web/easyui/05-ztree2.jsp HTTP/1.1" 200 4839
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:25:57 +0800] "GET /bos-web/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:25:57 +0800] "GET /bos-web/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:25:57 +0800] "GET /bos-web/js/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:25:57 +0800] "GET /bos-web/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:25:57 +0800] "GET /bos-web/js/ztree/zTreeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:25:57 +0800] "GET /bos-web/js/ztree/jquery.ztree.all-3.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:25:57 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:25:57 +0800] "GET /bos-web/js/easyui/themes/default/images/linkbutton_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:25:57 +0800] "GET /bos-web/js/easyui/themes/default/images/blank.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:25:57 +0800] "GET /bos-web/js/easyui/themes/default/images/layout_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:25:57 +0800] "GET /bos-web/js/easyui/themes/icons/cut.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:25:57 +0800] "GET /bos-web/js/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:25:57 +0800] "GET /bos-web/js/easyui/themes/default/images/accordion_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:25:57 +0800] "POST /bos-web/json/menu.json HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:25:59 +0800] "GET /bos-web/js/ztree/img/zTreeStandard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:26:00 +0800] "GET /bos-web/js/ztree/img/line_conn.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:36:09 +0800] "GET /bos-web/easyui/05-ztree2.jsp HTTP/1.1" 200 5022
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:36:09 +0800] "GET /bos-web/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
