127.0.0.1 - - [20/Nov/2018:15:47:00 +0800] "GET / HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [20/Nov/2018:15:47:02 +0800] "GET /HeimaShop/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2018:15:47:02 +0800] "GET /HeimaShop/product?method=index HTTP/1.1" 200 14574
0:0:0:0:0:0:0:1 - - [20/Nov/2018:15:47:03 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [20/Nov/2018:15:47:25 +0800] "GET /HeimaShop/product?method=index HTTP/1.1" 200 14574
0:0:0:0:0:0:0:1 - - [20/Nov/2018:15:47:25 +0800] "GET /HeimaShop/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [20/Nov/2018:15:47:25 +0800] "GET /HeimaShop/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [20/Nov/2018:15:47:25 +0800] "GET /HeimaShop/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [20/Nov/2018:15:47:25 +0800] "GET /HeimaShop/img/logo2.png HTTP/1.1" 200 8086
0:0:0:0:0:0:0:1 - - [20/Nov/2018:15:47:25 +0800] "GET /HeimaShop/img/header.png HTTP/1.1" 200 12567
0:0:0:0:0:0:0:1 - - [20/Nov/2018:15:47:25 +0800] "GET /HeimaShop/img/1.jpg HTTP/1.1" 200 145795
0:0:0:0:0:0:0:1 - - [20/Nov/2018:15:47:25 +0800] "GET /HeimaShop/img/2.jpg HTTP/1.1" 200 167457
0:0:0:0:0:0:0:1 - - [20/Nov/2018:15:47:25 +0800] "GET /HeimaShop/img/3.jpg HTTP/1.1" 200 201004
0:0:0:0:0:0:0:1 - - [20/Nov/2018:15:47:25 +0800] "GET /HeimaShop/img/title2.jpg HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [20/Nov/2018:15:47:26 +0800] "GET /HeimaShop/products/hao/big01.jpg HTTP/1.1" 200 15121
0:0:0:0:0:0:0:1 - - [20/Nov/2018:15:47:26 +0800] "GET /HeimaShop/products/1/c_0012.jpg HTTP/1.1" 200 6252
0:0:0:0:0:0:0:1 - - [20/Nov/2018:15:47:26 +0800] "GET /HeimaShop/products/hao/middle01.jpg HTTP/1.1" 200 34449
0:0:0:0:0:0:0:1 - - [20/Nov/2018:15:47:26 +0800] "GET /HeimaShop/products/1/c_0010.jpg HTTP/1.1" 200 6416
