127.0.0.1 - - [22/Nov/2018:19:02:35 +0800] "GET / HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:02:37 +0800] "GET /HeimaShop/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:02:38 +0800] "GET /HeimaShop/product?method=index HTTP/1.1" 200 14600
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:02:40 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/product?method=index HTTP/1.1" 200 14600
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/img/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/img/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/img/title2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/1/c_0012.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/1/c_0010.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/hao/big01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/1/c_0001.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/1/c_0020.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/1/c_0023.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/1/c_0022.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/1/c_0002.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/img/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/1/c_0015.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/1/c_0014.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/hao/ad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/hao/middle01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/img/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/1/c_0047.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/1/c_0003.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/1/c_0007.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/1/c_0037.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/1/c_0016.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/products/1/c_0050.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:01 +0800] "GET /HeimaShop/img/footer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:22 +0800] "GET /HeimaShop/product?method=index HTTP/1.1" 200 14600
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:22 +0800] "GET /HeimaShop/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:22 +0800] "GET /HeimaShop/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [22/Nov/2018:19:03:22 +0800] "GET /HeimaShop/js/bootstrap.min.js HTTP/1.1" 200 36816
