127.0.0.1 - - [15/Nov/2018:15:26:46 +0800] "GET / HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/ HTTP/1.1" 200 13467
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/img/header.png HTTP/1.1" 200 12567
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/img/title2.jpg HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/img/logo2.png HTTP/1.1" 200 8086
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/img/3.jpg HTTP/1.1" 200 201004
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/img/1.jpg HTTP/1.1" 200 145795
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/img/2.jpg HTTP/1.1" 200 167457
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/products/hao/ad.jpg HTTP/1.1" 200 39033
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/products/hao/big01.jpg HTTP/1.1" 200 15121
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/products/hao/middle01.jpg HTTP/1.1" 200 34449
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/products/hao/small03.jpg HTTP/1.1" 200 5609
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/img/footer.jpg HTTP/1.1" 200 24121
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/products/hao/small04.jpg HTTP/1.1" 200 9109
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/products/hao/small05.jpg HTTP/1.1" 200 4695
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:26:48 +0800] "GET /Shop/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/index.jsp HTTP/1.1" 200 13467
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/img/logo2.png HTTP/1.1" 200 8086
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/img/header.png HTTP/1.1" 200 12567
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/img/2.jpg HTTP/1.1" 200 167457
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/products/hao/big01.jpg HTTP/1.1" 200 15121
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/img/title2.jpg HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/img/3.jpg HTTP/1.1" 200 201004
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/img/1.jpg HTTP/1.1" 200 145795
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/products/hao/middle01.jpg HTTP/1.1" 200 34449
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/img/footer.jpg HTTP/1.1" 200 24121
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/products/hao/ad.jpg HTTP/1.1" 200 39033
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/products/hao/small03.jpg HTTP/1.1" 200 5609
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/products/hao/small04.jpg HTTP/1.1" 200 9109
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/products/hao/small05.jpg HTTP/1.1" 200 4695
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /Shop/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:54 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:57 +0800] "GET /Shop/register.jsp HTTP/1.1" 200 6530
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:57 +0800] "GET /Shop/css/style.css HTTP/1.1" 200 786
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:57 +0800] "GET /Shop/image/captcha.jhtml HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:57 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:57 +0800] "GET /Shop/image/regist_bg.jpg HTTP/1.1" 200 28345
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:28:57 +0800] "GET /Shop/images/register.gif HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [15/Nov/2018:15:29:23 +0800] "POST /Shop/register HTTP/1.1" 302 -
