0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:47 +0800] "GET /HeimaShop/products/1/c_0040.jpg HTTP/1.1" 200 12138
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:47 +0800] "GET /HeimaShop/products/1/c_0038.jpg HTTP/1.1" 200 12121
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:47 +0800] "GET /HeimaShop/products/1/c_0036.jpg HTTP/1.1" 200 12601
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:47 +0800] "GET /HeimaShop/products/1/c_0035.jpg HTTP/1.1" 200 14948
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:47 +0800] "GET /HeimaShop/products/1/c_0039.jpg HTTP/1.1" 200 11124
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:47 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:47 +0800] "GET /HeimaShop/products/1/c_0042.jpg HTTP/1.1" 200 11684
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:47 +0800] "GET /HeimaShop/products/1/c_0041.jpg HTTP/1.1" 200 10001
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:47 +0800] "GET /HeimaShop/products/1/c_0033.jpg HTTP/1.1" 200 14334
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:48 +0800] "GET /HeimaShop/product?method=productInfo&pid=32&cid=2&currentPage=1 HTTP/1.1" 200 8262
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:48 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:49 +0800] "GET /HeimaShop/product?method=addProductToCart&pid=32&buyNum=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:49 +0800] "GET /HeimaShop/cart.jsp HTTP/1.1" 200 7258
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:50 +0800] "GET /HeimaShop/product?method=addProductToCart&pid=32&buyNum=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:50 +0800] "GET /HeimaShop/cart.jsp HTTP/1.1" 200 7259
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:50 +0800] "GET /HeimaShop/product?method=addProductToCart&pid=32&buyNum=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:50 +0800] "GET /HeimaShop/cart.jsp HTTP/1.1" 200 7259
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:50 +0800] "GET /HeimaShop/product?method=addProductToCart&pid=32&buyNum=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:50 +0800] "GET /HeimaShop/cart.jsp HTTP/1.1" 200 7259
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:50 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:55 +0800] "GET /HeimaShop/product?method=submitOrder HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:55 +0800] "GET /HeimaShop/order_info.jsp HTTP/1.1" 200 8413
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:55 +0800] "GET /HeimaShop/images/finalbutton.gif HTTP/1.1" 200 2775
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:55 +0800] "GET /HeimaShop/bank_img/guangda.bmp HTTP/1.1" 200 6226
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:55 +0800] "GET /HeimaShop/bank_img/pingan.bmp HTTP/1.1" 200 6226
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:55 +0800] "GET /HeimaShop/bank_img/bc.bmp HTTP/1.1" 200 6226
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:55 +0800] "GET /HeimaShop/bank_img/icbc.bmp HTTP/1.1" 200 6226
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:55 +0800] "GET /HeimaShop/bank_img/ccb.bmp HTTP/1.1" 200 6226
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:55 +0800] "GET /HeimaShop/bank_img/abc.bmp HTTP/1.1" 200 6226
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:55 +0800] "GET /HeimaShop/bank_img/bcc.bmp HTTP/1.1" 200 6226
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:55 +0800] "GET /HeimaShop/bank_img/cmb.bmp HTTP/1.1" 200 6226
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:55 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:59 +0800] "POST /HeimaShop/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:24:10 +0800] "POST /HeimaShop/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:24:14 +0800] "GET /HeimaShop/product?method=myOrders HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:24:14 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:26:24 +0800] "GET /HeimaShop/product?method=productList&cid=1 HTTP/1.1" 200 11843
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:26:24 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:12 +0800] "GET /HeimaShop/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:12 +0800] "GET /HeimaShop/product?method=index HTTP/1.1" 200 14620
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:12 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:12 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:14 +0800] "GET /HeimaShop/login.jsp HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:14 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:14 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:22 +0800] "POST /HeimaShop/user HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:22 +0800] "GET /HeimaShop/index.jsp HTTP/1.1" 200 6656
